title,view,timeline,youtuber,genre,thumbnail
ASMR MUKBANG 직접 만든 양념 치킨먹방! 스테이크 짜파게티 레시피 & 먹방 FRIED CHICKEN AND BLACK BEAN NOODLES EATING SOUND!,12450000,6개월 전,GONGSAM TABLE 이공삼,먹방,https://i.ytimg.com/vi/KTJWJJkJJGM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBIsSM05nopHnSbu6Qd0sRJ1dAcEA
쌍둥이언니와 불닭볶음탕면 10봉지 10분컷 자매 먹방🔥ㅣ라면 먹방 Eat 10 Spicy Ramen MUKBANG,11680000,8개월 전,[Nareum_TV] 나름TV,먹방,https://i.ytimg.com/vi/QGEy_0E54xg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCU7cwbsmRUaFTFB9_gFubaYHVbag
ASMR MUKBANG| 레인보우 디저트 무지개 코하쿠토 마카롱 젤리 먹방 & 레시피 RAINBOW DESSERT MACARONS EATING,11270000,4개월 전,설기양SULGI,먹방,https://i.ytimg.com/vi/BDmz8PFv-ts/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMlEAiSwo2aiDHnvUkV1kp_akiVQ
Mukbang 하이유의 편의점 음식 먹방 모음! Korea Convenience Store FIRE NOODLES EATING | HIU 하이유,10660000,8개월 전,HIU 하이유,먹방,https://i.ytimg.com/vi/SSBosf4o1aI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAa0iC3m8xnIlyrXZzJ-jqXo5ifOA
"리얼먹방▶ 편의점음식 먹방! ☆ 컵라면,도시락,삼각김밥,샌드위치,디저트ㅣKorean convenience store foodㅣREAL SOUNDㅣASMR MUKBANGㅣ",10510000,7개월 전,[햄지]Hamzy,먹방,https://i.ytimg.com/vi/PJ2SzHmBFDs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBi9F1lBglH5keabMDoohh_LlgPFg
리얼먹방:) 코 찡끗 와사비마요 참치김밥 & 참깨라면 ★ ft. 김장김치ㅣGimbap & RamyunㅣREAL SOUNDㅣASMR MUKBANGㅣ,10310000,10개월 전,[햄지]Hamzy,먹방,https://i.ytimg.com/vi/AqOvG07VyBw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt5eXHKRX7sb4qW3rwlGA3dr_RSg
"리얼먹방:) 집밥 햄지백반 ★ 고추장찌개,굴비,무생채,시금치무침,분홍소세지ㅣKorean Home MealㅣREAL SOUNDㅣASMR MUKBANGㅣ",9660000,8개월 전,[햄지]Hamzy,먹방,https://i.ytimg.com/vi/kMxHFdv_Okk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDUXVmlgIGSDIUKWXfpu8nDUcTo2Q
ASMR ICE CREAM PINK BLUE PARTY 다양한 블루 핑크 아이스크림 젤리 먹방 DESSERTS JELLY CANDY MUKBANG EATING SOUNDS 咀嚼音,9770000,1개월 전,JaeYeol ASMR 재열,먹방,https://i.ytimg.com/vi/D8whcvIp3BE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAypyjE8zLGwtH-GtahjtbZKdHlaQ
ASMR MUKBANG 직접 만든 대왕 가래떡 떡볶이 불닭볶음면 소세지 먹방 & 레시피 FIRE NOODLES AND CHEETOS Tteokbokki EATING SOUND!,9590000,6개월 전,GONGSAM TABLE 이공삼,먹방,https://i.ytimg.com/vi/goYbYzYgXDw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQbnkEctocUhwB3jWm2YpMBz6SQw
ASMR MUKBANG 직접 만든 양념 치킨먹방! 스테이크 짜파게티 레시피 & 먹방 FRIED CHICKEN AND BLACK BEAN NOODLES EATING SOUND!,9500000,4개월 전,GONGSAM TABLE 이공삼,먹방,https://i.ytimg.com/vi/jwdWjABmzhI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCkNoIU0teXKoiB-QQaL7fsV-nQfQ
28000명 시청자가 분노한 대창 3kg와 불닭볶음면 먹방🔥,9440000,7개월 전,tzuyang쯔양,먹방,https://i.ytimg.com/vi/JRdqDre3abw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIHiXgRHLyjLXkNKpmFqCtq6Xq7g
