title,view,timeline,youtuber,genre,thumbnail
암환자 브이로그 | 셀프 암밍아웃은 힘들어💦 | 뼈전이 | 20대 암환자 | 4기 암환자 | 희귀암 | 투병 브이로그,2100000,3개월 전,유병장수girl,브이로그,https://i.ytimg.com/vi/2bo6lw-v6ys/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwBbO-Cp_H8esmWDLFrZzfM3q-vg
[sub] 🌈🫧비주얼과 맛까지 사로잡은 알록이들🫧🌈 / 카페 브이로그 / 카페알바 / 음료제조 / cafe vlog / asmr / no bgm / cafe,2020000,3개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/Fn1iodMjj38/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUFFe4sE4dyZmn_uiPzD7gBgPXZA
Living with his Korean parents for a weekend [대전 브이로그] pt. 1,1910000,2개월 전,YouronlyJen,브이로그,https://i.ytimg.com/vi/zNXY8jJThJk/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_z4-MomEdNn2PQ9NsvkpKhDE1pw
[FIM-LOG] 카즈하 브이로그 #2 l 느릿느릿 조금씩 차곡차곡 기록한 즈하의 일상🍩📹🌿,1830000,4개월 전,LE SSERAFIM,브이로그,https://i.ytimg.com/vi/46-Ueij5Q5k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApWs2NxRO0bO7MCbv2tQDW6UCUPg
배고프지 않냐…?😉 ”찐친 오리지널” 제주도에서 꽤 길티하게 먹어보기…🐽ㅣ찐친제주 2화,1800000,4개월 전,LeoJ Makeup,브이로그,https://i.ytimg.com/vi/jDVVjv2XsO4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwiKLzgtzrh_TcvbKE2-CZwPkWdQ
[Vlog] 제이와 선우의 졸업 브이로그🎓 - ENHYPEN (엔하이픈),1770000,7개월 전,ENHYPEN,브이로그,https://i.ytimg.com/vi/QVQoJ9X2h08/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqbcZ7fGLOCno1_y_oJNb78NyYSQ
"-7kg 다이어트 하고 싶어지는 브이로그ㅣ공복운동, 홈짐소개, 맛도리식단ㅣ달콤로그🌷",1740000,3개월 전,달콤로그,브이로그,https://i.ytimg.com/vi/02d52yCN12M/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbKjtPa9JFzp2_5pX-lnXjD0Zr7g
"[복학생 vlog] 일진 고딩 과외 브이로그 (자소서 스터디 꿀팁, 인턴십 결과발표, 미라클 모닝, 삼각관계 해결법, 일진 기선제압)",1720000,10개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/tzS69QJV4w4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZrkdX0X_zljXbM6zpO5Sf2xygiA
동분서주 강민경 브이로그,1620000,9일 전,걍밍경,브이로그,https://i.ytimg.com/vi/tsL2MDJlS7E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWaVG9-sEFmUDMN-M5D8RFwE_1sQ
[sub] ♥️🥫캔 음료가 이렇게 예쁘다구❔🥫♥️ / 카페 브이로그 / 카페알바 / 음료제조 / cafe vlog / asmr / cafe,1510000,6개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/vEZRcAyTAjQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYVngn5fyjsRcYuIG_NnwDTN27jQ
캠핑 브이로그 . 극한의 눈보라 속 생존하기 . 폭설 솔로캠핑,1500000,9개월 전,류캠프 RYUCAMP,브이로그,https://i.ytimg.com/vi/Lnxpsa5fW-4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcV5aqzJctDQjtSPRKYs4SJrGVmA
[FIM-LOG] 채원이의 브이로그 l 바쁘다 바빠 부지런히 움직이는 채채 🏃🏻‍♀️🎼,1480000,5개월 전,LE SSERAFIM,브이로그,https://i.ytimg.com/vi/GbSE2_pkp6Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbbOJ6ANu-zWXy8OcFcN2qDElptg
띠예의 초등학교 마지막 브이로그 (설참💓),1470000,10개월 전,띠예,브이로그,https://i.ytimg.com/vi/M6iaiOKNaVA/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_g6AArgIigIMCAAQARhlIFQoSjAP&rs=AOn4CLDIB9pv8-H5ixix7u60wIBCY1sEDg
[sub] 🌈🏄‍♂️에이드야 여름을 부탁해🏄‍♀️🌈 / 카페 브이로그 / 음료제조 / 카페알바 / cafe vlog / asmr / no bgm / cafe,1470000,5개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/hFQEECkTQjc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMM1MfE_LAsGGsWztJSPwjca-pgA
"Sub)💖🧋이 집 음료만들기 맛집이네🧋💖,카페브이로그,음료제조영상,ASMR,최블리,팔공티,cafe vlog",1450000,2개월 전,최블리choively,브이로그,https://i.ytimg.com/vi/kIAR6O8YO-8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEgLByi3cyD8Uwnwp60vLmF5XznQ
"[복학생 vlog] 네이버 신입사원 첫출근 브이로그 (어쩌다출근 섭외환영, 미생 문그래, 임시완, 네이버 취뽀 노하우, 독취사 탈퇴, SWOT 마케팅 전략, 에이스 되기 과자아님)",1450000,9개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/QbH-6U7Vlk4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBl3EKNs6O5viPl3qZyIrhQiDjZ3Q
끊임없이 음식이 나오는 한국 귀국 브이로그,1430000,3개월 전,곽튜브KWAKTUBE,브이로그,https://i.ytimg.com/vi/1uPGABWX9BE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcnAnDSSL276oJYpiI9NzULncSzQ
앨범깡 브이로그💜 팬싸컷 채우려고 200장 앨범깡 • 오프깡 • 준등기 • 핫트랙스 • 비트로드,1410000,8개월 전,강유미 yumi kang좋아서 하는 채널,브이로그,https://i.ytimg.com/vi/OsYmH8zrpSw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc73VMem9diIScAcyDIcYKS0GaRg
도둑질 브이로그,1400000,4개월 전,발명! 쓰레기걸 Trash girl,브이로그,https://i.ytimg.com/vi/z8yAx04Votg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDBUyt-dotr1u_kUFp3l2bl22SSlg
