title,view,timeline,youtuber,genre,thumbnail
(4K 세로) 간호사 코스프레 + 가터벨트 스타킹 촬영 / 유니폼 코스튬 패션 룩북 직캠 / Nurse Cosplay & Stockings Fashion Photo Session,2110000,7개월 전,뒤태미인 이블린 Evelyn,패션,https://i.ytimg.com/vi/fCgrOwcb5b8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFamGV7UoGNAFEblY0lLgOv5OCIw
[도장TV 58회] 역시.. 패션의 완성은 헤어!! -_- 투머치 이지만 괜찮아 ㅋㅋ,1970000,5개월 전,도장TV,패션,https://i.ytimg.com/vi/Gzq3lrzDG8c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEVvcPiE7bZsQS0oHW8ENFtY1Wew
한 끗 차이로 여름에 고급스럽게 옷 잘 입는 방법✔️(반모!),1910000,4개월 전,AliceFunk 앨리스펑크,패션,https://i.ytimg.com/vi/w_KwgqZS2ts/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDIlBbpigkr9pJph7a1Xb0stophkA
꼴보기 싫은데 사이는 좋은 다비치 패션 대결,1640000,8개월 전,걍밍경,패션,https://i.ytimg.com/vi/LrmFUyfieOQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmyfEzOSe8zo9kaRhQY1WxiRKQDA
요즘 초딩 패션 말안된다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1540000,7개월 전,쩡대의 패션하우스,패션,https://i.ytimg.com/vi/Hc2VyVl1x-I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPlPkOahXAK-h9KAk__NYKP74vZw
한물간 패션은 노노~ 한끗차이로 달라지는 부츠코디 👢 님아 이렇게 입지마오..,1490000,11개월 전,옆집언니 최실장 stylist unnie,패션,https://i.ytimg.com/vi/42WId13DCDg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrPIW4hf4-EsayHrAAaxGqF60wPA
Women’s Fall-Winter 2022 Fashion Show | LOUIS VUITTON,1360000,7개월 전,Louis Vuitton,패션,https://i.ytimg.com/vi/yekdy9NZCdw/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnyHcSA0pOFSIdjW1mLa5FvtswwQ
Miu Miu Spring/Summer 2023 Fashion Show,1310000,스트리밍 시간: 1개월 전,Miu Miu,패션,https://i.ytimg.com/vi/aO2mh3Dwl8g/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUHJIFEHeZAIUJD1Yo9b_7w23ZWQ
"남자패션쇼에 나타난 여자모델 한혜진 (배정남, 서울패션위크)",1310000,2주 전,한혜진 Han Hye Jin,패션,https://i.ytimg.com/vi/jc3n8tbWY_4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDcGTlM5QcR48u48w9Rf4B8fVJAwA
옷 입기 전에 절대 모르면 안되는 4가지 원칙✅ _ 옷 잘입고 싶으면 꼭 알아야 할 컬러매치 공식 ⚫️⚪️🟢,1270000,3주 전,메리지히_MerryJihee,패션,https://i.ytimg.com/vi/xj5N6dDGcyU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2PtC4ZYe3wD2XAfGJPGSbvSXV9w
99%가 모르는 넣입이 안어울리는 이유,1250000,4개월 전,깡스타일리스트,패션,https://i.ytimg.com/vi/BX5WEjJWJng/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpSinSWt00GeHNx-Me7Xdt6jpVdQ
송지아 = 패션 유튜버 free지아 | 솔로지옥 Single’s Inferno | 넷플릭스,1210000,10개월 전,Netflix Korea 넷플릭스 코리아,패션,https://i.ytimg.com/vi/1NhROHTHHGw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzYz6m_Wiqwrh6QmEVQNWCkbvqcw
멋진 패션 아이디어와 신발 꿀팁 | 저렴하고 화려한 DIY 공예품으로 옷 업그레이드,1150000,2개월 전,5-Minute Crafts Recycle,패션,https://i.ytimg.com/vi/kSKzM_2PCug/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDI2iQCE-Q0pF-MT_FYPa78gPYGvQ
Balenciaga Summer 23 Collection,1110000,스트리밍 시간: 1개월 전,Balenciaga,패션,https://i.ytimg.com/vi/Yh_1K9s6UV0/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIFIoSzAP&rs=AOn4CLDRb5655MJJzE5rVQdBT6xzKGkuXg
