title,view,timeline,youtuber,genre,thumbnail
50대부터 이 동작을 제발 하세요! 이것만큼 좋은 운동 또 없습니다,1990000,6개월 전,텐바디,운동,https://i.ytimg.com/vi/djDK9YoD1eg/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHl9AujgnLS4OlNbLZqL2zPRlISg
생강 이렇게만 먹으면 운동 안해도 내장지방 싹 녹여줍니다!! 내장지방 확실하게 빼는 방법!!,1980000,11개월 전,조여사전성시대,운동,https://i.ytimg.com/vi/i4FMt-8mCoY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7P8Y4WwrqOtemDf8tWO1pi-xKvg
운동을 늦게 시작해도 몸짱 될 수 있습니다 l 맨몸운동 산스장인,1940000,3개월 전,지기TV,운동,https://i.ytimg.com/vi/y1U1_2CY37E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBI3xIlG4XmVhvRuNHmtdb7U52qOg
과학적으로 밝혀진 뱃살을 선명한 복근으로 바꾸는 가장 빠른 운동방법!?,1920000,10개월 전,쇠질연구소,운동,https://i.ytimg.com/vi/k5IojvnVx3E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDIEBrAC2ZmFu66sASLWgWisf-Z2w
어깨가 아픈 줄 알았는데 알고보니 목디스크?! 자세만 바꿔도 목디스크를 고칠 수 있다는데 지금 당장 따라해 보세요. '허리의 신' 정선근 교수가 알려주는 목 디스크 치료운동!!,1900000,4개월 전,EBS STORY,운동,https://i.ytimg.com/vi/kfJ2OHT32ac/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYkDqIdHm6ZjHzhDONo8QxWH8kNQ
"홀로 생일🥳 대형견이랑 운동하면 생기는일..🐕 Hollo's Birthday, Workout With My Dog",1900000,6개월 전,홀로Hollo,운동,https://i.ytimg.com/vi/ddowBQA-H6w/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLADFaixDlZATxZTgZiJeEK1_cIpjA
추운 겨울 혈당 낮추는 집에서 하는 운동! 이것만 따라하세요!!,1860000,10개월 전,당뇨병의 정석,운동,https://i.ytimg.com/vi/Nn2LARREYNA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSl4VRxBU4b9Eh27-1tjNcfpJdjQ
"‘무릎을 보호’하는 가장 중요한 근육, ‘대퇴사두근'을 집에서 간단히 운동하는 법 - 송영민의 바른자세만들기 #66 - 대퇴사두근 운동",1860000,7개월 전,굿라이프,운동,https://i.ytimg.com/vi/lqus_wBtcgg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCG7BgT0XczweH38AllX_AArlMsIg
스쿼트 없이 하체를 키우는 최고의 하체운동,1830000,6개월 전,근력발전소,운동,https://i.ytimg.com/vi/QSCeJ__akl0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBEq0XipTvqXmjSlEVhOx-mOdkGRg
톱모델 한혜진 살뺄 때 하는 15분 근력유산소 (한번만 해보세요),1820000,1개월 전,한혜진 Han Hye Jin,운동,https://i.ytimg.com/vi/n8zGSCTd1bA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt7BuiMJPFbC9oSWH2itfBY_i3rg
🔥6분만에 복근 만들기!🔥식단없이 160cm 43kg 유지하는 복근 운동 루틴,1800000,9개월 전,Hazi,운동,https://i.ytimg.com/vi/eXW-lypqDpE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnSmO8F4D03qhH71467sWrvO9_pg
"중년 내장지방 뱃살 이렇게 해야 싹 다 빠집니다! 1시간 걷기 대신 이 운동을 매일 6분만 하세요! [뱃살빼는최고의운동, 올챙이배 빼는 최고의 운동 운동, 줌바 댄스]",1780000,1개월 전,비만탈출 연구소 - 다이어트 실전 가이드,운동,https://i.ytimg.com/vi/zDY1AT12wpQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDtjTF24m4hVmWFKUFtA2KoTCOhw
근육량을 늘리면서 체지방을 줄이는 가장 빠른 맨몸 전신운동 루틴 / 하루 10분 지방 태우는 맨몸운동 루틴,1720000,9개월 전,낭만호구,운동,https://i.ytimg.com/vi/f6Xs2GwYs-g/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBv7yDoO7uflmoEc-u-IvIvVTwUUg
[#유퀴즈온더블럭] 💥K-직장인 집중💥 지금부터 척추의 신 교수님께서 올바른 스트레칭 방법 알려주신다! 현대인의 고질병인 디스크? 이겨내면 그만이야ㅋ | #샾잉,1700000,4개월 전,샾잉 #ing,운동,https://i.ytimg.com/vi/_tzyFMgR8yk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTHShfp9sD0fV2VdvlNXMocy7YCg
일주일만에 팔뚝살 폭파🔥 일자 팔뚝 만들기 8분 운동,1700000,5개월 전,MIZI,운동,https://i.ytimg.com/vi/KZdQdzcrMOg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGmKJ6n2yGafOB8GmFU2IV7J2Kkg
푸쉬업? 그렇게 하면 '가슴근육' 안커집니다! (푸쉬업으로 가슴근육 만드는 가장 완벽한 방법),1680000,8개월 전,보통사람을 위한 운동채널,운동,https://i.ytimg.com/vi/L3H0g1N1iRI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC87qZPQj7Eq2UcvpuFSR-Nl-0f_g
"무릎 통증 없이 누워서 하는 최고의 하체근력강화 운동, 50대 이상은 꼭 하세요! [50대 하체 운동, 중년 하체 운동]",1670000,3개월 전,건전지 - 건강을 전하는 지식,운동,https://i.ytimg.com/vi/YRXxRvnceFs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrhk3wDbhtrPQP65bj0q9li8b7vw
'종아리'와 '허벅지'를 동시에 키우는 하체 운동 루틴!,1660000,10개월 전,쇠질연구소,운동,https://i.ytimg.com/vi/9ehdY_9B5jY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwPsT_zSOeS6jkt-thNTKoI26hww
1시간 걷기 그만! 딱 10분만 이 방법으로 운동하세요,1600000,4개월 전,모멘트핏 록코치,운동,https://i.ytimg.com/vi/nIGkM3_Aydo/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyET9dMXIcfv9gjRBdwwbTYI3ZJw
50대부터 이 운동은 무조건 하세요! 거짓말처럼 효과 좋아요,1540000,7개월 전,텐바디,운동,https://i.ytimg.com/vi/mAObDCV72u8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzdgrfQ-Vv7RN_nBWwihIfBMrF8A
"[8분] 중둔근운동, 더 매운맛 왔어요! 꼭 해보세여 (무릎사용x, 효과보장👍)",1520000,10개월 전,소미핏 SomiFit,운동,https://i.ytimg.com/vi/xua8mUT0IFQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCoMiZzS7lk-7JybDpFwl7PLirDCQ
바른 자세를 돕는 상체 운동｜WORKOUT with BTS｜DAY1,1480000,6개월 전,Cake X,운동,https://i.ytimg.com/vi/g5z7a1Pei2A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWvUgiU1WCAGJVc0arXKahHbm9kQ
괴물 운동 유튜버,1460000,10개월 전,피지컬갤러리,운동,https://i.ytimg.com/vi/qjGUFA2JZtY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCu8NlwGcmYHv1ekBVIvX-UUvR_2w
'이것'만 유지해도 살 금방 뺍니다! 유산소운동으로 체지방 녹이는법!!,1380000,11개월 전,핏블리 FITVELY,운동,https://i.ytimg.com/vi/eRsb26UQ6wM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9zmYs81kK61b9V-eq1FwaaJ2bSA
"[전참시] 등 운동 맛있어💪 힘 센 언니 한효주, 진서연과 함께 하는 살 떨리는 운동 ㅣ#수영 #소녀시대 MBC220903방송",1360000,2개월 전,엠뚜루마뚜루 : MBC 공식 종합 채널,운동,https://i.ytimg.com/vi/9AwAaAi0p0c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVKaCJPJwXqTdljsc7-xmvYLISfg
어깨가 넓어지고 싶다? 이 운동 하나라도 제대로 배우시면 됩니다.,1340000,9개월 전,피지컬갤러리,운동,https://i.ytimg.com/vi/EoGMVSORHtM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBildVACtzczb020kE5SFwRmyRhNw
"내 뱃살은 몇단계? 단계별 운동, 식단법 총정리 (단계별 복부 살빼는법)",1340000,7개월 전,제이제이살롱드핏,운동,https://i.ytimg.com/vi/FSBjKsXr5pQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4mt4_3kwOyDFJEDkQjEA8O4PxQg
드디어 운동 시작한 초고도비만 이현석 ㅋㅋㅋ 올해까지 감량 실패시 빡빡이돼지가 된다 ㅋㅋㅋㅋ (이현석의 버킷리스트),1350000,2개월 전,보물섬,운동,https://i.ytimg.com/vi/lItFzbOgRqo/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOlfzeEd9QoZ3Fxsq2orJlylznzQ
친구와 격렬한 운동을 해봤다,1310000,9개월 전,비행시간 AirplaneTime,운동,https://i.ytimg.com/vi/D2tgNA9ngg0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDIjNNQ0WGutfPZjgtMDUdLv__O1A
[ENG] 12시간 공복상태 ..그리고 2시간 운동 후 💥만칼로리💥 먹방시작ㄷㄷㄷ 만칼로리 넘기는 상황 발생🤦🏻‍♀️🤦🏻‍♀️,1300000,9개월 전,웅이woongei,운동,https://i.ytimg.com/vi/qHJQT5LQvVM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBW62SDsZLz1Q2_pQL473rzUh9u7Q
[#나혼자산다] 여기저기 찬혁의 취향 가득! 감각적인 빈티지 무드 아티스트 이찬혁의 집 대공개🏠✨(feat. YG GYM에서의 운동 루틴) | #이찬혁 MBC221014방송,1270000,3주 전,엠뚜루마뚜루 : MBC 공식 종합 채널,운동,https://i.ytimg.com/vi/rPi1Pzoslg0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD0xefAAop6auE4x-gN9Mr9EMSbwg
